2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.BPD.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.BPO.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.COMBUSTION.ALM.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.DSTS.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.EAD.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.EAO.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.EF64.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.GENRUN.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.OAD.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.OAO.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.OAT.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.OATTRG.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.PURGETIME.PRESENT_VALUE
2020-01-16 09:25:17 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.PURGETRG.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.RIG.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.RMS.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.RMT.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.RPG.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.STS.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.BPD1.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.BPD2.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.CLG.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.EAT.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.ECNM.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.ENBL.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.ENT1.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.ENT2.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.HTG.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.IAD1.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.IAD2.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.MAO1.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.MAO2.PRESENT_VALUE
2020-01-16 09:25:18 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.OAT1.PRESENT_VALUE
